comune,anno,mese,densita_turistica,densita_turistica_norm,intensita_turistica_presenze,intensita_turistica_norm,densita_ricettiva,densita_ricettiva_norm,utilizzazione_lorda_pct,utilizzazione_lorda_norm,indice_overtourism,n_indicatori_disponibili,Unnamed: 0,codice_istat,nome_comune,codice_istat_str,infrastrutture,natura,ristorazione,servizi,turismo,com_istat_code,area_km2,area_km2_reg,turismo_density,turismo_log_density,natura_density,natura_log_density,ristorazione_density,ristorazione_log_density,servizi_density,servizi_log_density,infrastrutture_density,infrastrutture_log_density,turismo_density_norm,natura_density_norm,ristorazione_density_norm,servizi_density_norm,infrastrutture_density_norm,indice_attrattivita_assoluto,indice_attrattivita_og,indice_attrattivita_log,indice_attrattivita_assoluto_norm,indice_attrattivita_log_norm,classe_attrattivita,indice_attrattivita,gem_score,gem_score_normalized,quadrante,etichetta,icona,eleggibile_gemma,gem_rank,gem_tier,descrizione_breve
Cagliari,2022,1,262.25,0.1533,0.1494,0.0049,123.84,0.6046,20.1,0.6786,0.1325,4.0,288,118006,Cagliari,118006.0,351,267,566,268,327,118006,84.91557087384986,128.30743478744768,2.548566266184837,1.2665436532300764,2.0809394283527567,1.125234559685072,4.411279836882623,1.6884856336202747,2.0887332089832915,1.1277610421208129,2.735617001317669,1.3179129994042398,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.61512051684126,100.0,100.0,5,1.0,0.8674999999999999,100.0,Q2,Destinazione Popolare,🏖️,True,1,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
Cagliari,2022,2,337.91,0.1976,0.1925,0.0063,123.84,0.6046,20.1,0.6786,0.1503,4.0,288,118006,Cagliari,118006.0,351,267,566,268,327,118006,84.91557087384986,128.30743478744768,2.548566266184837,1.2665436532300764,2.0809394283527567,1.125234559685072,4.411279836882623,1.6884856336202747,2.0887332089832915,1.1277610421208129,2.735617001317669,1.3179129994042398,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.61512051684126,100.0,100.0,5,1.0,0.8497,97.94812680115274,Q2,Destinazione Popolare,🏖️,True,2,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
Cagliari,2023,1,349.95,0.2046,0.2004,0.0066,129.99,0.6347,21.45,0.7242,0.1578,4.0,288,118006,Cagliari,118006.0,351,267,566,268,327,118006,84.91557087384986,128.30743478744768,2.548566266184837,1.2665436532300764,2.0809394283527567,1.125234559685072,4.411279836882623,1.6884856336202747,2.0887332089832915,1.1277610421208129,2.735617001317669,1.3179129994042398,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.61512051684126,100.0,100.0,5,1.0,0.8422000000000001,97.08357348703171,Q2,Destinazione Popolare,🏖️,True,3,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
Cagliari,2022,12,395.83,0.2314,0.2254,0.0074,123.84,0.6046,20.1,0.6786,0.1628,4.0,288,118006,Cagliari,118006.0,351,267,566,268,327,118006,84.91557087384986,128.30743478744768,2.548566266184837,1.2665436532300764,2.0809394283527567,1.125234559685072,4.411279836882623,1.6884856336202747,2.0887332089832915,1.1277610421208129,2.735617001317669,1.3179129994042398,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.61512051684126,100.0,100.0,5,1.0,0.8371999999999999,96.50720461095102,Q2,Destinazione Popolare,🏖️,True,4,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
Cagliari,2023,2,375.56,0.2196,0.215,0.0071,129.99,0.6347,21.45,0.7242,0.1636,4.0,288,118006,Cagliari,118006.0,351,267,566,268,327,118006,84.91557087384986,128.30743478744768,2.548566266184837,1.2665436532300764,2.0809394283527567,1.125234559685072,4.411279836882623,1.6884856336202747,2.0887332089832915,1.1277610421208129,2.735617001317669,1.3179129994042398,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.61512051684126,100.0,100.0,5,1.0,0.8364,96.41498559077812,Q2,Destinazione Popolare,🏖️,True,5,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
Cagliari,2024,1,357.41,0.209,0.2059,0.0068,173.25,0.8459,17.96,0.6063,0.1643,4.0,288,118006,Cagliari,118006.0,351,267,566,268,327,118006,84.91557087384986,128.30743478744768,2.548566266184837,1.2665436532300764,2.0809394283527567,1.125234559685072,4.411279836882623,1.6884856336202747,2.0887332089832915,1.1277610421208129,2.735617001317669,1.3179129994042398,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.61512051684126,100.0,100.0,5,1.0,0.8357,96.3342939481268,Q2,Destinazione Popolare,🏖️,True,6,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
Cagliari,2022,3,415.13,0.2427,0.2364,0.0078,123.84,0.6046,20.1,0.6786,0.1669,4.0,288,118006,Cagliari,118006.0,351,267,566,268,327,118006,84.91557087384986,128.30743478744768,2.548566266184837,1.2665436532300764,2.0809394283527567,1.125234559685072,4.411279836882623,1.6884856336202747,2.0887332089832915,1.1277610421208129,2.735617001317669,1.3179129994042398,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.61512051684126,100.0,100.0,5,1.0,0.8331,96.03458213256484,Q2,Destinazione Popolare,🏖️,True,7,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
Cagliari,2022,11,424.91,0.2484,0.242,0.008,123.84,0.6046,20.1,0.6786,0.169,4.0,288,118006,Cagliari,118006.0,351,267,566,268,327,118006,84.91557087384986,128.30743478744768,2.548566266184837,1.2665436532300764,2.0809394283527567,1.125234559685072,4.411279836882623,1.6884856336202747,2.0887332089832915,1.1277610421208129,2.735617001317669,1.3179129994042398,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.61512051684126,100.0,100.0,5,1.0,0.831,95.79250720461096,Q2,Destinazione Popolare,🏖️,True,8,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
Cagliari,2023,12,415.98,0.2432,0.2382,0.0078,129.99,0.6347,21.45,0.7242,0.1718,4.0,288,118006,Cagliari,118006.0,351,267,566,268,327,118006,84.91557087384986,128.30743478744768,2.548566266184837,1.2665436532300764,2.0809394283527567,1.125234559685072,4.411279836882623,1.6884856336202747,2.0887332089832915,1.1277610421208129,2.735617001317669,1.3179129994042398,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.61512051684126,100.0,100.0,5,1.0,0.8282,95.46974063400577,Q2,Destinazione Popolare,🏖️,True,9,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
Cagliari,2024,2,410.31,0.2399,0.2364,0.0078,173.25,0.8459,17.96,0.6063,0.176,4.0,288,118006,Cagliari,118006.0,351,267,566,268,327,118006,84.91557087384986,128.30743478744768,2.548566266184837,1.2665436532300764,2.0809394283527567,1.125234559685072,4.411279836882623,1.6884856336202747,2.0887332089832915,1.1277610421208129,2.735617001317669,1.3179129994042398,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.61512051684126,100.0,100.0,5,1.0,0.8240000000000001,94.985590778098,Q2,Destinazione Popolare,🏖️,True,10,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
