comune,popolazione_residente,anno
Aggius,1405,2022
Aglientu,1168,2022
Alà Dei Sardi,1789,2022
Alghero,42458,2022
Anela,588,2022
Ardara,736,2022
Arzachena,13328,2022
Badesi,1838,2022
Banari,535,2022
Benetutti,1726,2022
Berchidda,2634,2022
Bessude,391,2022
Bonnanaro,930,2022
Bono,3356,2022
Bonorva,3231,2022
Bortigiadas,729,2022
Borutta,260,2022
Bottidda,651,2022
Buddusò,3659,2022
Budoni,5333,2022
Bultei,841,2022
Bulzi,470,2022
Burgos,856,2022
Calangianus,3853,2022
Cargeghe,593,2022
Castelsardo,5711,2022
Cheremule,402,2022
Chiaramonti,1525,2022
Codrongianos,1283,2022
Cossoine,765,2022
Erula,691,2022
Esporlatu,382,2022
Florinas,1446,2022
Giave,494,2022
Golfo Aranci,2376,2022
Illorai,763,2022
Ittireddu,481,2022
Ittiri,8097,2022
Laerru,859,2022
La Maddalena,10687,2022
Loiri Porto San Paolo,3659,2022
Luogosanto,1818,2022
Luras,2429,2022
Mara,526,2022
Martis,470,2022
Monteleone Rocca Doria,111,2022
Monti,2348,2022
Mores,1758,2022
Muros,830,2022
Nughedu San Nicolò,763,2022
Nule,1293,2022
Nulvi,2648,2022
Olbia,60711,2022
Olmedo,4134,2022
Oschiri,3051,2022
Osilo,2834,2022
Ossi,5513,2022
Ozieri,9935,2022
Padria,605,2022
Padru,2055,2022
Palau,4106,2022
Pattada,2892,2022
Perfugas,2272,2022
Ploaghe,4350,2022
Porto Torres,21330,2022
Pozzomaggiore,2416,2022
Putifigari,691,2022
Romana,497,2022
Santa Maria Coghinas,1309,2022
Sant'Antonio Di Gallura,1443,2022
Santa Teresa Gallura,5006,2022
San Teodoro,4992,2022
Sassari,122159,2022
Sedini,1256,2022
Semestene,141,2022
Sennori,6935,2022
Siligo,812,2022
Sorso,14501,2022
Stintino,1538,2022
Telti,2236,2022
Tempio Pausania,13329,2022
Tergu,606,2022
Thiesi,2814,2022
Tissi,2361,2022
Torralba,904,2022
Trinità D'Agultu E Vignola,2239,2022
Tula,1466,2022
Uri,2856,2022
Usini,4237,2022
Valledoria,4264,2022
Viddalba,1623,2022
