Comune,Totale
Aggius,1405
Aglientu,1168
Alà dei Sardi,1789
Alghero,42458
Anela,588
Ardara,736
Arzachena,13328
Badesi,1838
Banari,535
Benetutti,1726
Berchidda,2634
Bessude,391
Bonnanaro,930
Bono,3356
Bonorva,3231
Bortigiadas,729
Borutta,260
Bottidda,651
Buddusò,3659
Budoni,5333
Bultei,841
Bulzi,470
Burgos,856
Calangianus,3853
Cargeghe,593
Castelsardo,5711
Cheremule,402
Chiaramonti,1525
Codrongianos,1283
Cossoine,765
Erula,691
Esporlatu,382
Florinas,1446
Giave,494
Golfo Aranci,2376
Illorai,763
Ittireddu,481
Ittiri,8097
Laerru,859
La Maddalena,10687
Loiri Porto San Paolo,3659
Luogosanto,1818
Luras,2429
Mara,526
Martis,470
Monteleone Rocca Doria,111
Monti,2348
Mores,1758
Muros,830
Nughedu San Nicolò,763
Nule,1293
Nulvi,2648
Olbia,60711
Olmedo,4134
Oschiri,3051
Osilo,2834
Ossi,5513
Ozieri,9935
Padria,605
Padru,2055
Palau,4106
Pattada,2892
Perfugas,2272
Ploaghe,4350
Porto Torres,21330
Pozzomaggiore,2416
Putifigari,691
Romana,497
Santa Maria Coghinas,1309
Sant'Antonio di Gallura,1443
Santa Teresa Gallura,5006
San Teodoro,4992
Sassari,122159
Sedini,1256
Semestene,141
Sennori,6935
Siligo,812
Sorso,14501
Stintino,1538
Telti,2236
Tempio Pausania,13329
Tergu,606
Thiesi,2814
Tissi,2361
Torralba,904
Trinità d'Agultu e Vignola,2239
Tula,1466
Uri,2856
Usini,4237
Valledoria,4264
Viddalba,1623
Villanova Monteleone,2124
Aritzo,1237
Arzana,2259
Atzara,1026
Austis,772
Bari Sardo,3861
Baunei,3480
Belvì,560
Birori,499
Bitti,2610
Bolotana,2419
Borore,1994
Bortigali,1205
Cardedu,1927
Desulo,2149
Dorgali,8368
Dualchi,576
Elini,559
Fonni,3692
Gadoni,703
Gairo,1304
Galtellì,2384
Gavoi,2497
Girasole,1335
Ilbono,2004
Irgoli,2232
Jerzu,3054
Lanusei,5091
Lei,470
Loceri,1279
Loculi,508
Lodè,1529
Lodine,307
Lotzorai,2116
Lula,1266
Macomer,9444
Mamoiada,2426
Meana Sardo,1624
Noragugume,286
Nuoro,34183
Oliena,6657
Ollolai,1202
Olzai,774
Onanì,373
Onifai,697
Oniferi,873
Orani,2723
Orgosolo,3971
Orosei,6833
Orotelli,1905
Ortueri,1049
Orune,2177
Osidda,219
Osini,727
Ottana,2199
Ovodda,1536
Perdasdefogu,1763
Posada,3020
Sarule,1564
Silanus,2018
Sindia,1609
Siniscola,11245
Sorgono,1529
Talana,964
Tertenia,3855
Teti,610
Tiana,444
Tonara,1812
Torpè,2720
Tortolì,11024
Triei,1071
Ulassai,1369
Urzulei,1125
Ussassai,473
Villagrande Strisaili,3011
Assemini,26159
Cagliari,149092
Capoterra,23235
Decimomannu,8336
Elmas,9424
Maracalagonis,7909
Monserrato,19118
Pula,7106
Quartucciu,12910
Quartu Sant'Elena,68853
Sarroch,5057
Selargius,28648
Sestu,20800
Settimo San Pietro,6882
Sinnai,17323
Uta,8671
Villa San Pietro,2165
Abbasanta,2594
Aidomaggiore,398
Albagiara,246
Ales,1293
Allai,358
Arborea,3777
Ardauli,780
Assolo,348
Asuni,311
Baradili,76
Baratili San Pietro,1211
Baressa,568
Bauladu,647
Bidonì,128
Bonarcado,1519
Boroneddu,154
Bosa,7539
Busachi,1172
Cabras,8809
Cuglieri,2487
Curcuris,311
Flussio,426
Fordongianus,850
Ghilarza,4241
Gonnoscodina,436
Gonnosnò,712
Gonnostramatza,809
Laconi,1685
Magomadas,604
Marrubiu,4643
Masullas,1012
Milis,1433
Modolo,155
Mogorella,412
Mogoro,3959
Montresta,440
Morgongiori,661
Narbolia,1692
Neoneli,622
Norbello,1141
Nughedu Santa Vittoria,441
Nurachi,1692
Nureci,320
Ollastra,1144
Oristano,30653
Palmas Arborea,1475
Pau,276
Paulilatino,2096
Pompu,215
Riola Sardo,2060
Ruinas,621
Sagama,195
Samugheo,2796
San Nicolò d'Arcidano,2526
Santa Giusta,4646
Santu Lussurgiu,2229
San Vero Milis,2434
Scano di Montiferro,1417
Sedilo,1995
Seneghe,1682
Senis,424
Sennariolo,155
Siamaggiore,884
Siamanna,773
Siapiccia,344
Simala,284
Simaxis,2146
Sini,485
Siris,223
Soddì,120
Solarussa,2291
Sorradile,349
Suni,994
Tadasuni,141
Terralba,9792
Tinnura,239
Tramatza,937
Tresnuraghes,1051
Ulà Tirso,475
Uras,2697
Usellus,727
Villanova Truschedu,293
Villa Sant'Antonio,333
Villaurbana,1490
Villa Verde,288
Zeddiani,1131
Zerfaliu,1017
Arbus,5843
Armungia,428
Ballao,731
Barrali,1095
Barumini,1176
Buggerru,1053
Burcei,2666
Calasetta,2802
Carbonia,26565
Carloforte,5983
Castiadas,1661
Collinas,781
Decimoputzu,4205
Dolianova,9496
Domus de Maria,1628
Domusnovas,5922
Donori,1976
Escalaplano,2092
Escolca,543
Esterzili,565
Fluminimaggiore,2681
Furtei,1525
Genoni,771
